Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
157,+5,Mr.Kitty ,After Dark,37,112,,7506571,45985.0,258738373
158,-48,MC MENOR HR ,Evoque Prata,10,69,,7492729,-1123818.0,94313927
159,+9,Freddie Dredd ,Limbo,9,158,,7465796,136325.0,66204179
160,-8,Calvin Harris ,One Kiss,105,2,(x4),7449833,-233234.0,1179970867
161,-24,BLACKPINK ,Pink Venom,22,2,(x1),7421331,-504364.0,350326079
162,-37,Steve Lacy ,Dark Red,76,66,,7399863,-954863.0,590975549
163,-4,Lil Nas X ,INDUSTRY BABY,78,2,(x8),7398727,-141870.0,1611289409
164,+5,Eminem ,Lose Yourself,209,44,,7359821,52590.0,718351684
165,-19,J Balvin ,LA CANCIÓN,100,17,,7355828,-450445.0,871082841
166,-1,Gustavo Mioto ,Eu Gosto Assim,15,99,,7350507,-36103.0,116375943
167,-18,Metro Boomin ,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],7,24,,7329848,-392294.0,70370129
168,-2,OneRepublic ,Counting Stars,243,3,(x5),7325606,-56015.0,987040582
169,-18,Taylor Swift ,Blank Space,58,113,,7309281,-408413.0,373065107
170,+11,Feid ,Normal,24,57,,7264474,206649.0,187028882
171,-24,Arctic Monkeys ,Why'd You Only Call Me When You're High?,61,104,,7228058,-565411.0,382057657
172,-42,XXXTENTACION ,Revenge,46,63,,7216133,-837645.0,290956883
173,-13,Kate Bush ,Running Up That Hill (A Deal With God),33,1,(x3),7208442,-302278.0,746676134
174,+16,Dua Lipa ,Don't Start Now,158,2,(x1),7200765,349984.0,2045030977
175,RE,Shakira ,Hips Don't Lie,2,175,,7186556,,12105192
176,RE,Maroon 5 ,Memories,127,2,(x1),7173977,,1378872769
177,-33,One Direction ,Night Changes,61,25,,7173880,-668274.0,301258398
178,-2,Kenshi Yonezu ,KICK BACK,11,66,,7159908,17003.0,91047386
179,-22,Elley Duhé ,MIDDLE OF THE NIGHT,56,11,,7138440,-429716.0,642009873
180,-8,Lost Frequencies ,Where Are You Now,69,18,,7123857,-96409.0,758482604
181,+7,Hotel Ugly ,Shut up My Moms Calling,2,181,,7108556,222644.0,13994468
182,NEW,Fuerza Regida ,Billete Grande (En Vivo),1,182,,7106221,,7106221
183,-29,Nicki Minaj ,Super Freaky Girl,22,14,,7072594,-567626.0,304410788
184,RE,Sam Smith ,Stay With Me,146,2,(x4),7050362,,585430499
185,-14,Coolio ,Gangsta's Paradise,60,40,,7045890,-192620.0,388642625
186,-7,Bruno Mars ,Locked Out Of Heaven,84,45,,7044202,-52510.0,349187589
187,-29,Future ,WAIT FOR U,36,10,,7041079,-502465.0,364039907
188,-18,Sam Smith ,I'm Not The Only One,79,30,,7030842,-249203.0,285919750
189,-4,Ed Sheeran ,Shape of You,300,1,(x14),7028585,117357.0,3241699308
190,RE,Mert Demir ,Antidepresan,6,87,,7017789,,51695388
191,-55,Central Cee ,Doja,26,15,,7002550,-955026.0,315511748
192,-9,SZA ,Good Days,36,5,,6962679,-49072.0,387143735
193,-43,The Weeknd ,Stargirl Interlude,28,42,,6961546,-759689.0,187544891
194,-12,Seafret ,Atlantis,23,63,,6959526,-74177.0,189763448
195,-11,Post Malone ,Sunflower,217,1,(x2),6949948,-60976.0,2439316414
196,RE,Olivia Rodrigo ,drivers license,96,1,(x10),6877569,,1574743121
197,-30,The Weeknd ,Save Your Tears (Remix),41,43,,6873076,-495356.0,312399451
198,-3,Tears For Fears ,Everybody Wants To Rule The World,25,105,,6833008,49912.0,172663511
199,-3,PinkPantheress ,Boy's a liar,2,196,,6814830,50108.0,13579552
200,RE,Eminem ,'Till I Collapse,83,81,,6779918,,309616040
